received_at_utc,received_at_cest,generated_at_cest,protocol,alert_id,topic,simulation_time,risk_level,episode_status,vehicle_1,vehicle_2,arrival_time_difference_s,latency_ms,payload_json
2026-07-06T13:34:40.513505+00:00,15:34:40.513 CEST,15:34:40.500 CEST,kafka,arrival:targeted_vehicle_004|targeted_vehicle_005:41.6:HIGH,v2x.alerts,41.6,HIGH,NEW_HIGH,targeted_vehicle_004,targeted_vehicle_005,0.1,13.1205,"{""alert_id"":""arrival:targeted_vehicle_004|targeted_vehicle_005:41.6:HIGH"",""pair_id"":""targeted_vehicle_004|targeted_vehicle_005"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:34:40.500502+00:00"",""simulation_time"":41.6,""prediction_time_s"":41.6,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_004"",""vehicle_2"":""targeted_vehicle_005"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.1,""vehicle_1_arrival_time_s"":44.6,""vehicle_2_arrival_time_s"":44.5,""predicted_collision_time_s"":44.5,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_004 and targeted_vehicle_005"",""episode_id"":""targeted_vehicle_004|targeted_vehicle_005|41.6"",""episode_status"":""NEW_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1524.087269666,""sent_wall_time_utc"":""2026-07-06T13:34:40.500519+00:00"",""sent_wall_time_cest"":""15:34:40.500 CEST""}"
2026-07-06T13:34:52.200194+00:00,15:34:52.200 CEST,15:34:52.196 CEST,kafka,arrival:targeted_vehicle_006|targeted_vehicle_007:53.3:LOW,v2x.alerts,53.3,LOW,NEW_LOW,targeted_vehicle_006,targeted_vehicle_007,2.5,3.2922,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_007:53.3:LOW"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_007"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:34:52.196909+00:00"",""simulation_time"":53.3,""prediction_time_s"":53.3,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_007"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.5,""vehicle_1_arrival_time_s"":56.3,""vehicle_2_arrival_time_s"":53.8,""predicted_collision_time_s"":53.8,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_007"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_007|53.3"",""episode_status"":""NEW_LOW"",""protocol"":""kafka"",""sent_perf_time"":1535.784056833,""sent_wall_time_utc"":""2026-07-06T13:34:52.196933+00:00"",""sent_wall_time_cest"":""15:34:52.196 CEST""}"
2026-07-06T13:34:52.806367+00:00,15:34:52.806 CEST,15:34:52.802 CEST,kafka,arrival:targeted_vehicle_006|targeted_vehicle_007:53.9:HIGH,v2x.alerts,53.9,HIGH,ESCALATED_HIGH,targeted_vehicle_006,targeted_vehicle_007,2.0,3.6587,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_007:53.9:HIGH"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_007"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:34:52.802737+00:00"",""simulation_time"":53.9,""prediction_time_s"":53.9,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_007"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.0,""vehicle_1_arrival_time_s"":56.0,""vehicle_2_arrival_time_s"":54.0,""predicted_collision_time_s"":54.0,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_007"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_007|53.3"",""episode_status"":""ESCALATED_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1536.389898166,""sent_wall_time_utc"":""2026-07-06T13:34:52.802755+00:00"",""sent_wall_time_cest"":""15:34:52.802 CEST""}"
2026-07-06T13:34:57.211150+00:00,15:34:57.211 CEST,15:34:57.207 CEST,kafka,arrival:targeted_vehicle_006|targeted_vehicle_008:58.3:LOW,v2x.alerts,58.3,LOW,NEW_LOW,targeted_vehicle_006,targeted_vehicle_008,2.7,4.0693,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_008:58.3:LOW"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_008"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:34:57.207101+00:00"",""simulation_time"":58.3,""prediction_time_s"":58.3,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_008"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.7,""vehicle_1_arrival_time_s"":58.4,""vehicle_2_arrival_time_s"":61.1,""predicted_collision_time_s"":58.4,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_008"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_008|58.3"",""episode_status"":""NEW_LOW"",""protocol"":""kafka"",""sent_perf_time"":1540.794404416,""sent_wall_time_utc"":""2026-07-06T13:34:57.207120+00:00"",""sent_wall_time_cest"":""15:34:57.207 CEST""}"
2026-07-06T13:35:07.905926+00:00,15:35:07.905 CEST,15:35:07.900 CEST,kafka,arrival:targeted_vehicle_010|targeted_vehicle_011:69.0:HIGH,v2x.alerts,69.0,HIGH,NEW_HIGH,targeted_vehicle_010,targeted_vehicle_011,0.0,5.0391,"{""alert_id"":""arrival:targeted_vehicle_010|targeted_vehicle_011:69.0:HIGH"",""pair_id"":""targeted_vehicle_010|targeted_vehicle_011"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:07.900907+00:00"",""simulation_time"":69.0,""prediction_time_s"":69.0,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_010"",""vehicle_2"":""targeted_vehicle_011"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.0,""vehicle_1_arrival_time_s"":72.0,""vehicle_2_arrival_time_s"":72.0,""predicted_collision_time_s"":72.0,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_010 and targeted_vehicle_011"",""episode_id"":""targeted_vehicle_010|targeted_vehicle_011|69.0"",""episode_status"":""NEW_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1551.488549791,""sent_wall_time_utc"":""2026-07-06T13:35:07.900924+00:00"",""sent_wall_time_cest"":""15:35:07.900 CEST""}"
2026-07-06T13:35:20.699654+00:00,15:35:20.699 CEST,15:35:20.695 CEST,kafka,arrival:targeted_vehicle_012|targeted_vehicle_013:81.8:HIGH,v2x.alerts,81.8,HIGH,NEW_HIGH,targeted_vehicle_012,targeted_vehicle_013,1.2,3.6906,"{""alert_id"":""arrival:targeted_vehicle_012|targeted_vehicle_013:81.8:HIGH"",""pair_id"":""targeted_vehicle_012|targeted_vehicle_013"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:20.695995+00:00"",""simulation_time"":81.8,""prediction_time_s"":81.8,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_012"",""vehicle_2"":""targeted_vehicle_013"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":1.2,""vehicle_1_arrival_time_s"":83.6,""vehicle_2_arrival_time_s"":84.8,""predicted_collision_time_s"":83.6,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_012 and targeted_vehicle_013"",""episode_id"":""targeted_vehicle_012|targeted_vehicle_013|81.8"",""episode_status"":""NEW_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1564.284052,""sent_wall_time_utc"":""2026-07-06T13:35:20.696018+00:00"",""sent_wall_time_cest"":""15:35:20.696 CEST""}"
2026-07-06T13:35:36.503062+00:00,15:35:36.503 CEST,15:35:36.499 CEST,kafka,arrival:targeted_vehicle_015|targeted_vehicle_016:97.6:HIGH,v2x.alerts,97.6,HIGH,NEW_HIGH,targeted_vehicle_015,targeted_vehicle_016,0.3,3.3616,"{""alert_id"":""arrival:targeted_vehicle_015|targeted_vehicle_016:97.6:HIGH"",""pair_id"":""targeted_vehicle_015|targeted_vehicle_016"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:36.499712+00:00"",""simulation_time"":97.6,""prediction_time_s"":97.6,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_015"",""vehicle_2"":""targeted_vehicle_016"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.3,""vehicle_1_arrival_time_s"":100.3,""vehicle_2_arrival_time_s"":100.6,""predicted_collision_time_s"":100.3,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_015 and targeted_vehicle_016"",""episode_id"":""targeted_vehicle_015|targeted_vehicle_016|97.6"",""episode_status"":""NEW_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1580.088271416,""sent_wall_time_utc"":""2026-07-06T13:35:36.499732+00:00"",""sent_wall_time_cest"":""15:35:36.499 CEST""}"
2026-07-06T13:35:50.099869+00:00,15:35:50.099 CEST,15:35:50.095 CEST,kafka,arrival:targeted_vehicle_017|targeted_vehicle_019:111.2:LOW,v2x.alerts,111.2,LOW,NEW_LOW,targeted_vehicle_017,targeted_vehicle_019,2.9,4.1096,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_019:111.2:LOW"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:50.095807+00:00"",""simulation_time"":111.2,""prediction_time_s"":111.2,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.9,""vehicle_1_arrival_time_s"":111.3,""vehicle_2_arrival_time_s"":114.2,""predicted_collision_time_s"":111.3,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_019|111.2"",""episode_status"":""NEW_LOW"",""protocol"":""kafka"",""sent_perf_time"":1593.684799708,""sent_wall_time_utc"":""2026-07-06T13:35:50.095826+00:00"",""sent_wall_time_cest"":""15:35:50.095 CEST""}"
2026-07-06T13:35:50.302531+00:00,15:35:50.302 CEST,15:35:50.299 CEST,kafka,arrival:targeted_vehicle_018|targeted_vehicle_019:111.4:HIGH,v2x.alerts,111.4,HIGH,NEW_HIGH,targeted_vehicle_018,targeted_vehicle_019,0.3,3.3624,"{""alert_id"":""arrival:targeted_vehicle_018|targeted_vehicle_019:111.4:HIGH"",""pair_id"":""targeted_vehicle_018|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:50.299182+00:00"",""simulation_time"":111.4,""prediction_time_s"":111.4,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_018"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.3,""vehicle_1_arrival_time_s"":114.4,""vehicle_2_arrival_time_s"":114.1,""predicted_collision_time_s"":114.1,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_018 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_018|targeted_vehicle_019|111.4"",""episode_status"":""NEW_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1593.88817975,""sent_wall_time_utc"":""2026-07-06T13:35:50.299200+00:00"",""sent_wall_time_cest"":""15:35:50.299 CEST""}"
2026-07-06T13:35:50.307718+00:00,15:35:50.307 CEST,15:35:50.299 CEST,kafka,arrival:targeted_vehicle_017|targeted_vehicle_018:111.4:LOW,v2x.alerts,111.4,LOW,NEW_LOW,targeted_vehicle_017,targeted_vehicle_018,2.9,6.4318,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_018:111.4:LOW"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_018"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:50.299165+00:00"",""simulation_time"":111.4,""prediction_time_s"":111.4,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_018"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.9,""vehicle_1_arrival_time_s"":111.5,""vehicle_2_arrival_time_s"":114.4,""predicted_collision_time_s"":111.5,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_018"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_018|111.4"",""episode_status"":""NEW_LOW"",""protocol"":""kafka"",""sent_perf_time"":1593.89029325,""sent_wall_time_utc"":""2026-07-06T13:35:50.301313+00:00"",""sent_wall_time_cest"":""15:35:50.301 CEST""}"
2026-07-06T13:35:50.611085+00:00,15:35:50.611 CEST,15:35:50.607 CEST,kafka,arrival:targeted_vehicle_017|targeted_vehicle_019:111.7:HIGH,v2x.alerts,111.7,HIGH,ESCALATED_HIGH,targeted_vehicle_017,targeted_vehicle_019,2.0,3.1803,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_019:111.7:HIGH"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:35:50.607918+00:00"",""simulation_time"":111.7,""prediction_time_s"":111.7,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.0,""vehicle_1_arrival_time_s"":111.8,""vehicle_2_arrival_time_s"":113.8,""predicted_collision_time_s"":111.8,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_019|111.2"",""episode_status"":""ESCALATED_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1594.196924583,""sent_wall_time_utc"":""2026-07-06T13:35:50.607935+00:00"",""sent_wall_time_cest"":""15:35:50.607 CEST""}"
2026-07-06T13:36:04.714907+00:00,15:36:04.714 CEST,15:36:04.711 CEST,kafka,arrival:targeted_vehicle_021|targeted_vehicle_022:125.7:HIGH,v2x.alerts,125.7,HIGH,NEW_HIGH,targeted_vehicle_021,targeted_vehicle_022,0.0,3.1815,"{""alert_id"":""arrival:targeted_vehicle_021|targeted_vehicle_022:125.7:HIGH"",""pair_id"":""targeted_vehicle_021|targeted_vehicle_022"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:36:04.711755+00:00"",""simulation_time"":125.7,""prediction_time_s"":125.7,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_021"",""vehicle_2"":""targeted_vehicle_022"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.0,""vehicle_1_arrival_time_s"":128.7,""vehicle_2_arrival_time_s"":128.7,""predicted_collision_time_s"":128.7,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_021 and targeted_vehicle_022"",""episode_id"":""targeted_vehicle_021|targeted_vehicle_022|125.7"",""episode_status"":""NEW_HIGH"",""protocol"":""kafka"",""sent_perf_time"":1608.301217541,""sent_wall_time_utc"":""2026-07-06T13:36:04.711777+00:00"",""sent_wall_time_cest"":""15:36:04.711 CEST""}"
