received_at_utc,received_at_cest,generated_at_cest,protocol,alert_id,topic,simulation_time,risk_level,episode_status,risk_source,vehicle_1,vehicle_2,arrival_time_difference_s,latency_ms,recommendation,message,payload_json
2026-07-06T13:47:21.820081+00:00,15:47:21.820 CEST,15:47:21.818 CEST,mqtt,arrival:targeted_vehicle_004|targeted_vehicle_005:41.6:HIGH,v2x/alerts,41.6,HIGH,NEW_HIGH,arrival,targeted_vehicle_004,targeted_vehicle_005,0.1,2.0846,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_004 and targeted_vehicle_005,"{""alert_id"":""arrival:targeted_vehicle_004|targeted_vehicle_005:41.6:HIGH"",""pair_id"":""targeted_vehicle_004|targeted_vehicle_005"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:47:21.818286+00:00"",""simulation_time"":41.6,""prediction_time_s"":41.6,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_004"",""vehicle_2"":""targeted_vehicle_005"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.1,""vehicle_1_arrival_time_s"":44.6,""vehicle_2_arrival_time_s"":44.5,""predicted_collision_time_s"":44.5,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_004 and targeted_vehicle_005"",""episode_id"":""targeted_vehicle_004|targeted_vehicle_005|41.6"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2285.3814275,""sent_wall_time_utc"":""2026-07-06T13:47:21.818312+00:00"",""sent_wall_time_cest"":""15:47:21.818 CEST""}"
2026-07-06T13:47:33.519724+00:00,15:47:33.519 CEST,15:47:33.518 CEST,mqtt,arrival:targeted_vehicle_006|targeted_vehicle_007:53.3:LOW,v2x/alerts,53.3,LOW,NEW_LOW,arrival,targeted_vehicle_006,targeted_vehicle_007,2.5,1.528,Monitor arrival timing and prepare warning if risk escalates,LOW intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_007,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_007:53.3:LOW"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_007"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:47:33.518222+00:00"",""simulation_time"":53.3,""prediction_time_s"":53.3,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_007"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.5,""vehicle_1_arrival_time_s"":56.3,""vehicle_2_arrival_time_s"":53.8,""predicted_collision_time_s"":53.8,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_007"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_007|53.3"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":2297.081577666,""sent_wall_time_utc"":""2026-07-06T13:47:33.518241+00:00"",""sent_wall_time_cest"":""15:47:33.518 CEST""}"
2026-07-06T13:47:34.175632+00:00,15:47:34.175 CEST,15:47:34.174 CEST,mqtt,arrival:targeted_vehicle_006|targeted_vehicle_007:53.9:HIGH,v2x/alerts,53.9,HIGH,ESCALATED_HIGH,arrival,targeted_vehicle_006,targeted_vehicle_007,2.0,0.8405,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_007,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_007:53.9:HIGH"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_007"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:47:34.174810+00:00"",""simulation_time"":53.9,""prediction_time_s"":53.9,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_007"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.0,""vehicle_1_arrival_time_s"":56.0,""vehicle_2_arrival_time_s"":54.0,""predicted_collision_time_s"":54.0,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_007"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_007|53.3"",""episode_status"":""ESCALATED_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2297.738175,""sent_wall_time_utc"":""2026-07-06T13:47:34.174825+00:00"",""sent_wall_time_cest"":""15:47:34.174 CEST""}"
2026-07-06T13:47:34.213479+00:00,15:47:34.213 CEST,15:47:34.211 CEST,mqtt,arrival:targeted_vehicle_006|targeted_vehicle_008:54.0:HIGH,v2x/alerts,54.0,HIGH,NEW_HIGH,arrival,targeted_vehicle_006,targeted_vehicle_008,1.1,1.9262,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_008,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_008:54.0:HIGH"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_008"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:47:34.211562+00:00"",""simulation_time"":54.0,""prediction_time_s"":54.0,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_008"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":1.1,""vehicle_1_arrival_time_s"":55.9,""vehicle_2_arrival_time_s"":57.0,""predicted_collision_time_s"":55.9,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_008"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_008|54.0"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2297.774931041,""sent_wall_time_utc"":""2026-07-06T13:47:34.211581+00:00"",""sent_wall_time_cest"":""15:47:34.211 CEST""}"
2026-07-06T13:47:34.213710+00:00,15:47:34.213 CEST,15:47:34.211 CEST,mqtt,arrival:targeted_vehicle_007|targeted_vehicle_008:54.0:LOW,v2x/alerts,54.0,LOW,NEW_LOW,arrival,targeted_vehicle_007,targeted_vehicle_008,2.9,2.0376,Monitor arrival timing and prepare warning if risk escalates,LOW intersection arrival-time risk detected between targeted_vehicle_007 and targeted_vehicle_008,"{""alert_id"":""arrival:targeted_vehicle_007|targeted_vehicle_008:54.0:LOW"",""pair_id"":""targeted_vehicle_007|targeted_vehicle_008"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:47:34.211567+00:00"",""simulation_time"":54.0,""prediction_time_s"":54.0,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_007"",""vehicle_2"":""targeted_vehicle_008"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.9,""vehicle_1_arrival_time_s"":54.1,""vehicle_2_arrival_time_s"":57.0,""predicted_collision_time_s"":54.1,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_007 and targeted_vehicle_008"",""episode_id"":""targeted_vehicle_007|targeted_vehicle_008|54.0"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":2297.7750375,""sent_wall_time_utc"":""2026-07-06T13:47:34.211687+00:00"",""sent_wall_time_cest"":""15:47:34.211 CEST""}"
2026-07-06T13:47:49.320150+00:00,15:47:49.320 CEST,15:47:49.318 CEST,mqtt,arrival:targeted_vehicle_010|targeted_vehicle_011:69.1:HIGH,v2x/alerts,69.1,HIGH,NEW_HIGH,arrival,targeted_vehicle_010,targeted_vehicle_011,0.1,1.5693,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_010 and targeted_vehicle_011,"{""alert_id"":""arrival:targeted_vehicle_010|targeted_vehicle_011:69.1:HIGH"",""pair_id"":""targeted_vehicle_010|targeted_vehicle_011"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:47:49.318597+00:00"",""simulation_time"":69.1,""prediction_time_s"":69.1,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_010"",""vehicle_2"":""targeted_vehicle_011"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.1,""vehicle_1_arrival_time_s"":72.1,""vehicle_2_arrival_time_s"":72.0,""predicted_collision_time_s"":72.0,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_010 and targeted_vehicle_011"",""episode_id"":""targeted_vehicle_010|targeted_vehicle_011|69.1"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2312.882278333,""sent_wall_time_utc"":""2026-07-06T13:47:49.318613+00:00"",""sent_wall_time_cest"":""15:47:49.318 CEST""}"
2026-07-06T13:48:02.019067+00:00,15:48:02.019 CEST,15:48:02.017 CEST,mqtt,arrival:targeted_vehicle_012|targeted_vehicle_013:81.8:HIGH,v2x/alerts,81.8,HIGH,NEW_HIGH,arrival,targeted_vehicle_012,targeted_vehicle_013,1.2,1.1282,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_012 and targeted_vehicle_013,"{""alert_id"":""arrival:targeted_vehicle_012|targeted_vehicle_013:81.8:HIGH"",""pair_id"":""targeted_vehicle_012|targeted_vehicle_013"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:48:02.017951+00:00"",""simulation_time"":81.8,""prediction_time_s"":81.8,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_012"",""vehicle_2"":""targeted_vehicle_013"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":1.2,""vehicle_1_arrival_time_s"":83.6,""vehicle_2_arrival_time_s"":84.8,""predicted_collision_time_s"":83.6,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_012 and targeted_vehicle_013"",""episode_id"":""targeted_vehicle_012|targeted_vehicle_013|81.8"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2325.581909875,""sent_wall_time_utc"":""2026-07-06T13:48:02.017968+00:00"",""sent_wall_time_cest"":""15:48:02.017 CEST""}"
2026-07-06T13:48:17.860021+00:00,15:48:17.860 CEST,15:48:17.858 CEST,mqtt,arrival:targeted_vehicle_015|targeted_vehicle_016:97.6:HIGH,v2x/alerts,97.6,HIGH,NEW_HIGH,arrival,targeted_vehicle_015,targeted_vehicle_016,0.3,1.4813,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_015 and targeted_vehicle_016,"{""alert_id"":""arrival:targeted_vehicle_015|targeted_vehicle_016:97.6:HIGH"",""pair_id"":""targeted_vehicle_015|targeted_vehicle_016"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:48:17.858565+00:00"",""simulation_time"":97.6,""prediction_time_s"":97.6,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_015"",""vehicle_2"":""targeted_vehicle_016"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.3,""vehicle_1_arrival_time_s"":100.3,""vehicle_2_arrival_time_s"":100.6,""predicted_collision_time_s"":100.3,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_015 and targeted_vehicle_016"",""episode_id"":""targeted_vehicle_015|targeted_vehicle_016|97.6"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2341.422872291,""sent_wall_time_utc"":""2026-07-06T13:48:17.858581+00:00"",""sent_wall_time_cest"":""15:48:17.858 CEST""}"
2026-07-06T13:48:31.541305+00:00,15:48:31.541 CEST,15:48:31.539 CEST,mqtt,arrival:targeted_vehicle_017|targeted_vehicle_019:111.2:LOW,v2x/alerts,111.2,LOW,NEW_LOW,arrival,targeted_vehicle_017,targeted_vehicle_019,2.9,1.4568,Monitor arrival timing and prepare warning if risk escalates,LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_019:111.2:LOW"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:48:31.539864+00:00"",""simulation_time"":111.2,""prediction_time_s"":111.2,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.9,""vehicle_1_arrival_time_s"":111.3,""vehicle_2_arrival_time_s"":114.2,""predicted_collision_time_s"":111.3,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_019|111.2"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":2355.104478583,""sent_wall_time_utc"":""2026-07-06T13:48:31.539884+00:00"",""sent_wall_time_cest"":""15:48:31.539 CEST""}"
2026-07-06T13:48:31.614979+00:00,15:48:31.614 CEST,15:48:31.613 CEST,mqtt,arrival:targeted_vehicle_018|targeted_vehicle_019:111.4:HIGH,v2x/alerts,111.4,HIGH,NEW_HIGH,arrival,targeted_vehicle_018,targeted_vehicle_019,0.3,1.839,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_018 and targeted_vehicle_019,"{""alert_id"":""arrival:targeted_vehicle_018|targeted_vehicle_019:111.4:HIGH"",""pair_id"":""targeted_vehicle_018|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:48:31.613163+00:00"",""simulation_time"":111.4,""prediction_time_s"":111.4,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_018"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.3,""vehicle_1_arrival_time_s"":114.4,""vehicle_2_arrival_time_s"":114.1,""predicted_collision_time_s"":114.1,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_018 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_018|targeted_vehicle_019|111.4"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2355.177772708,""sent_wall_time_utc"":""2026-07-06T13:48:31.613176+00:00"",""sent_wall_time_cest"":""15:48:31.613 CEST""}"
2026-07-06T13:48:31.615204+00:00,15:48:31.615 CEST,15:48:31.613 CEST,mqtt,arrival:targeted_vehicle_017|targeted_vehicle_018:111.4:LOW,v2x/alerts,111.4,LOW,NEW_LOW,arrival,targeted_vehicle_017,targeted_vehicle_018,2.9,1.9207,Monitor arrival timing and prepare warning if risk escalates,LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_018,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_018:111.4:LOW"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_018"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:48:31.613149+00:00"",""simulation_time"":111.4,""prediction_time_s"":111.4,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_018"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.9,""vehicle_1_arrival_time_s"":111.5,""vehicle_2_arrival_time_s"":114.4,""predicted_collision_time_s"":111.5,""prediction_horizon_s"":3.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_018"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_018|111.4"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":2355.177892166,""sent_wall_time_utc"":""2026-07-06T13:48:31.613296+00:00"",""sent_wall_time_cest"":""15:48:31.613 CEST""}"
2026-07-06T13:48:31.923916+00:00,15:48:31.923 CEST,15:48:31.921 CEST,mqtt,arrival:targeted_vehicle_017|targeted_vehicle_019:111.7:HIGH,v2x/alerts,111.7,HIGH,ESCALATED_HIGH,arrival,targeted_vehicle_017,targeted_vehicle_019,2.0,2.382,Issue immediate V2X intersection-arrival warning,HIGH intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_019:111.7:HIGH"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-07-06T13:48:31.921550+00:00"",""simulation_time"":111.7,""prediction_time_s"":111.7,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.0,""vehicle_1_arrival_time_s"":111.8,""vehicle_2_arrival_time_s"":113.8,""predicted_collision_time_s"":111.8,""prediction_horizon_s"":3.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_019|111.2"",""episode_status"":""ESCALATED_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":2355.486167666,""sent_wall_time_utc"":""2026-07-06T13:48:31.921564+00:00"",""sent_wall_time_cest"":""15:48:31.921 CEST""}"
